mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
6.595,0.656,4.119,0.315,0.854,0.398,5.686,8.754,0.0
8.721,0.772,1.388,0.215,0.544,0.332,2.479,7.652,0.0
9.323,0.834,0.799,0.165,0.402,0.262,1.627,7.623,0.0
9.787,0.848,0.622,0.142,0.359,0.234,1.357,7.594,0.0
9.9,0.858,0.447,0.121,0.335,0.199,1.102,7.594,0.0
9.855,0.873,0.389,0.108,0.313,0.188,0.998,7.597,0.0
9.978,0.882,0.279,0.09,0.289,0.165,0.824,7.607,0.0
10.061,0.89,0.265,0.084,0.269,0.166,0.785,7.605,0.0
10.331,0.894,0.284,0.074,0.264,0.15,0.773,7.619,0.0
10.425,0.9,0.194,0.064,0.254,0.142,0.654,7.601,0.0
10.521,0.904,0.239,0.057,0.238,0.134,0.668,7.603,0.0
10.687,0.908,0.241,0.06,0.233,0.129,0.662,7.648,0.0
10.615,0.914,0.205,0.049,0.213,0.123,0.59,7.618,0.0
10.786,0.923,0.179,0.045,0.198,0.118,0.539,7.621,0.0
10.942,0.91,0.181,0.05,0.233,0.115,0.578,7.644,0.0
10.939,0.924,0.139,0.038,0.201,0.11,0.489,7.333,0.0
10.911,0.926,0.118,0.038,0.192,0.104,0.452,7.698,0.0
11.105,0.92,0.138,0.035,0.198,0.105,0.476,7.715,0.0
11.275,0.924,0.095,0.032,0.195,0.098,0.42,7.674,0.0
11.219,0.932,0.147,0.029,0.178,0.099,0.453,7.68,0.0
11.385,0.936,0.121,0.025,0.171,0.093,0.409,7.662,0.0
11.245,0.939,0.112,0.029,0.165,0.086,0.392,7.68,0.0
11.213,0.942,0.121,0.028,0.151,0.088,0.389,7.677,0.0
11.353,0.932,0.106,0.026,0.17,0.089,0.391,7.69,0.0
11.279,0.94,0.119,0.028,0.153,0.088,0.388,7.646,0.0
11.509,0.94,0.102,0.025,0.156,0.087,0.369,7.659,0.0
11.277,0.94,0.105,0.022,0.159,0.078,0.365,7.688,0.0
11.37,0.94,0.093,0.021,0.156,0.077,0.349,7.668,0.0
11.387,0.948,0.128,0.022,0.139,0.08,0.369,7.676,0.0
11.319,0.944,0.108,0.016,0.146,0.078,0.348,7.672,0.0
11.314,0.946,0.094,0.018,0.138,0.079,0.33,7.672,0.0
11.435,0.95,0.127,0.019,0.129,0.072,0.346,7.676,0.0
11.314,0.948,0.086,0.017,0.139,0.067,0.309,7.653,0.0
11.344,0.948,0.109,0.021,0.13,0.066,0.326,7.649,0.0
11.237,0.955,0.121,0.021,0.124,0.072,0.337,7.625,0.0
11.542,0.959,0.11,0.017,0.125,0.068,0.321,7.645,0.0
11.468,0.95,0.11,0.017,0.131,0.07,0.33,7.637,0.0
11.658,0.951,0.111,0.016,0.129,0.063,0.318,7.642,0.0
11.602,0.951,0.111,0.019,0.133,0.065,0.328,7.639,0.0
11.468,0.959,0.099,0.014,0.111,0.066,0.291,7.639,0.0
